filename,file_size_bytes,word_count,analysis_model,json_model,step1_input_tokens,step1_output_tokens,step1_cost_usd,step2_input_tokens,step2_output_tokens,step2_cost_usd,total_tokens,total_cost_usd,output_file,status,error_message,analyst,processed_at
audiofile-686753101395.txt,2638,514,gpt-4o,gpt-4o-mini,1530,1156,0.015385,2517,1058,0.001012,6261,0.016397,audiofile-686753101395_extracted.json,success,,Halibu A,2026-01-09T08:37:28.553887
audiofile-686753120759.txt,2872,544,gpt-4o,gpt-4o-mini,1664,1111,0.015270,2472,1094,0.001027,6341,0.016297,audiofile-686753120759_extracted.json,success,,Halibu A,2026-01-09T08:38:06.679558
audiofile-686753124983.txt,2454,457,gpt-4o,gpt-4o-mini,1505,1072,0.014483,2433,817,0.000855,5827,0.015338,audiofile-686753124983_extracted.json,success,,Halibu A,2026-01-09T08:38:34.723415
audiofile-686753132733.txt,3560,692,gpt-4o,gpt-4o-mini,1776,915,0.013590,2276,1049,0.000971,6016,0.014561,audiofile-686753132733_extracted.json,success,,Halibu A,2026-01-09T08:39:17.761810
audiofile-686753132842.txt,2897,545,gpt-4o,gpt-4o-mini,1657,1081,0.014953,2442,1066,0.001006,6246,0.015958,audiofile-686753132842_extracted.json,success,,Halibu A,2026-01-09T08:40:08.544742
audiofile-686753134155.txt,3282,638,gpt-4o,gpt-4o-mini,1797,1086,0.015352,2447,1022,0.000980,6352,0.016333,audiofile-686753134155_extracted.json,success,,Halibu A,2026-01-09T08:40:45.974963
audiofile-686753141840.txt,2070,390,gpt-4o,gpt-4o-mini,1442,1054,0.014145,2415,790,0.000836,5701,0.014981,audiofile-686753141840_extracted.json,success,,Halibu A,2026-01-09T08:41:20.765215
audiofile-686753148192.txt,2954,558,gpt-4o,gpt-4o-mini,1705,1078,0.015043,2439,1075,0.001011,6297,0.016053,audiofile-686753148192_extracted.json,success,,Halibu A,2026-01-09T08:42:00.217864
audiofile-686753148841.txt,5165,981,gpt-4o,gpt-4o-mini,2306,1230,0.018065,2591,1149,0.001078,7276,0.019143,audiofile-686753148841_extracted.json,success,,Halibu A,2026-01-09T08:42:41.788538
audiofile-686753157147.txt,5397,1009,gpt-4o,gpt-4o-mini,2407,1306,0.019078,2667,1088,0.001053,7468,0.020130,audiofile-686753157147_extracted.json,success,,Halibu A,2026-01-09T08:43:32.986409
audiofile-686753164732.txt,2543,463,gpt-4o,gpt-4o-mini,1549,1057,0.014443,2418,1027,0.000979,6051,0.015421,audiofile-686753164732_extracted.json,success,,Halibu A,2026-01-09T08:44:08.922093
audiofile-686753165483.txt,3007,574,gpt-4o,gpt-4o-mini,1746,1122,0.015585,2483,816,0.000862,6167,0.016447,audiofile-686753165483_extracted.json,success,,Halibu A,2026-01-09T08:44:42.121354
audiofile-686753178263.txt,2098,406,gpt-4o,gpt-4o-mini,1390,1248,0.015955,2609,1058,0.001026,6305,0.016981,audiofile-686753178263_extracted.json,success,,Halibu A,2026-01-09T08:45:37.880819
audiofile-686753189577.txt,2246,432,gpt-4o,gpt-4o-mini,1497,952,0.013262,2313,1055,0.000980,5817,0.014242,audiofile-686753189577_extracted.json,success,,Halibu A,2026-01-09T08:46:18.713073
audiofile-686753198350.txt,8321,1536,gpt-4o,gpt-4o-mini,3592,1125,0.020230,2486,1065,0.001012,8268,0.021242,audiofile-686753198350_extracted.json,success,,Halibu A,2026-01-09T08:47:14.953147
audiofile-686753203421.txt,2491,477,gpt-4o,gpt-4o-mini,1550,1128,0.015155,2489,1025,0.000988,6192,0.016143,audiofile-686753203421_extracted.json,success,,Halibu A,2026-01-09T08:47:51.543296
